"filename", "language", "YAML", "Markdown", "Swift", "C++", "Dart", "CMake", "XML", "JSON", "HTML", "Properties", "Gradle", "comment", "blank", "total"
"c:\Users\ahbaz\StudioProjects\kaio\lib\Handicrafts\desc_Hc_pprmche.dart", "Dart", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 6, 25
"c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\Book.dart", "Dart", 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 1, 4, 172
"c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\BookTemplate.dart", "Dart", 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 1, 5, 119
"c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\Widget_Book.dart", "Dart", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 6, 27
"c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\litera.dart", "Dart", 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 1, 14, 163
"c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\Cuisine.dart", "Dart", 0, 0, 0, 0, 221, 0, 0, 0, 0, 0, 0, 2, 23, 246
"c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\Culture.dart", "Dart", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 4, 5, 20
"c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\destinations.dart", "Dart", 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 2, 5, 83
"c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\handicrafts.dart", "Dart", 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 0, 2, 20, 223
"c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\literature.dart", "Dart", 0, 0, 0, 0, 370, 0, 0, 0, 0, 0, 0, 1, 21, 392
"c:\Users\ahbaz\StudioProjects\kaio\lib\constants.dart", "Dart", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\ahbaz\StudioProjects\kaio\lib\main.dart", "Dart", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 1, 6, 100
"c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\CookCard.dart", "Dart", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 3, 25
"c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\CultureCard.dart", "Dart", 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 0, 14, 20, 133
"c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\Recipe.dart", "Dart", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 1, 5, 59
"c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\ReviewCard.dart", "Dart", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 2, 3, 24
"c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\Travel.dart", "Dart", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 20, 7, 83
"c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\bookshape.dart", "Dart", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 4, 35
"c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\craft.dart", "Dart", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 1, 3, 48
"c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\selection.dart", "Dart", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 4, 23
"c:\Users\ahbaz\StudioProjects\kaio\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"c:\Users\ahbaz\StudioProjects\kaio\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\ahbaz\StudioProjects\kaio\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\ahbaz\StudioProjects\kaio\linux\main.cc", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\ahbaz\StudioProjects\kaio\linux\my_application.cc", "C++", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\ahbaz\StudioProjects\kaio\linux\my_application.h", "C++", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\ahbaz\StudioProjects\kaio\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 13
"c:\Users\ahbaz\StudioProjects\kaio\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\ahbaz\StudioProjects\kaio\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ahbaz\StudioProjects\kaio\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 1, 69
"c:\Users\ahbaz\StudioProjects\kaio\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 1, 344
"c:\Users\ahbaz\StudioProjects\kaio\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
